condition,case,model,parameter,true,estimated,absolute_error
Clean,1,Selected regularized PINN,v0_s,0.024731200126623287,0.03336259464410729,0.008631394517484004
Clean,1,Selected regularized PINN,kappa_f,3.507343203095616,3.7372998013498933,0.22995659825427728
Clean,1,Selected regularized PINN,theta_f,0.12515418776250045,0.10575427126244953,0.01939991650005092
Clean,1,Selected regularized PINN,sigma_f,0.2796592823806741,0.31696363590933935,0.037304353528665235
Clean,1,Selected regularized PINN,rho_f,-0.20701166880931882,-0.20589523674799837,0.0011164320613204493
Clean,1,Selected regularized PINN,v0_f,0.04583059611709112,0.037168401910061946,0.008662194207029177
Clean,2,Original Double Heston,kappa_s,0.35443906139387477,0.7183195640096237,0.36388050261574895
Clean,2,Original Double Heston,theta_s,0.02064784604256839,0.027021192312531514,0.006373346269963123
Clean,2,Original Double Heston,sigma_s,0.030316317650493335,0.049431391746685545,0.01911507409619221
Clean,2,Original Double Heston,rho_s,-0.14091621295598222,-0.12675625319368267,0.014159959762299557
Clean,2,Original Double Heston,v0_s,0.02714261736377292,0.03198893016466753,0.0048463128008946095
Clean,2,Original Double Heston,kappa_f,5.6794707111702545,5.778519076803352,0.09904836563309782
Clean,2,Original Double Heston,theta_f,0.030445915591943568,0.026215663053991624,0.004230252537951944
Clean,2,Original Double Heston,sigma_f,0.3642208828930416,0.3784037680764423,0.014182885183400717
Clean,2,Original Double Heston,rho_f,-0.13646042473653947,-0.13723860430725476,0.0007781795707152983
Clean,2,Original Double Heston,v0_f,0.058044368878634046,0.05324605965989694,0.004798309218737105
Clean,2,Unregularized matched PINN,kappa_s,0.35443906139387477,0.7423456915195062,0.3879066301256315
Clean,2,Unregularized matched PINN,theta_s,0.02064784604256839,0.024428010618677456,0.0037801645761090658
Clean,2,Unregularized matched PINN,sigma_s,0.030316317650493335,0.047017183360833534,0.0167008657103402
Clean,2,Unregularized matched PINN,rho_s,-0.14091621295598222,-0.10235444395642657,0.03856176899955566
Clean,2,Unregularized matched PINN,v0_s,0.02714261736377292,0.029474510724423492,0.0023318933606505735
Clean,2,Unregularized matched PINN,kappa_f,5.6794707111702545,5.788169403409974,0.10869869223971929
