spot,strike,tau,rate,dividend,call_price,pinn_price,absolute_error
100.0,96.47058823529412,2.0,0.03,0.01,14.58189615474818,14.583364306491895,0.0014681517437153957
100.0,101.3235294117647,2.0,0.03,0.01,12.224700916674365,12.229327220240584,0.004626303566219292
100.0,106.17647058823529,2.0,0.03,0.01,10.175333989120894,10.180737576078426,0.0054035869575326245
100.0,111.02941176470588,2.0,0.03,0.01,8.413678147532742,8.4161919255393,0.002513778006557388
100.0,115.88235294117646,2.0,0.03,0.01,6.914945450962016,6.911907037226031,0.0030384137359842356
100.0,120.73529411764706,2.0,0.03,0.01,5.6518368664660805,5.643857708251795,0.007979158214285853
100.0,125.58823529411765,2.0,0.03,0.01,4.596329096413225,4.587967746994294,0.008361349418930963
100.0,130.44117647058823,2.0,0.03,0.01,3.721038530976859,3.7186162595971637,0.0024222713796953066
100.0,135.2941176470588,2.0,0.03,0.01,3.000176662565071,3.007375063732265,0.007198401167193946
100.0,140.1470588235294,2.0,0.03,0.01,2.4101486941602825,2.4244551942773325,0.014306500117049925
100.0,145.0,2.0,0.03,0.01,1.9298635538985387,1.9428721940862794,0.013008640187740728
