t_days,tau_days,S,C_BS,C_SH,C_DH,C_PINN
295.30861723446895,434.69138276553105,105.0,12.20056665057552,12.324039817332803,12.280078045197614,
295.3609022556391,434.6390977443609,105.0,,,,12.279590386350469
296.77054108216436,433.22945891783564,105.0,12.18287319961813,12.306616456940832,12.262676737470205,
297.17293233082705,432.82706766917295,105.0,,,,12.258008310723111
298.23246492985976,431.76753507014024,105.0,12.165146789427917,12.289166828179114,12.245252797426975,
298.98496240601503,431.01503759398497,105.0,,,,12.236391493123598
299.6943887775551,430.3056112224449,105.0,12.147387238802832,12.271690826177528,12.227806137639195,
300.796992481203,429.203007518797,105.0,,,,12.214739769529936
301.1563126252505,428.8436873747495,105.0,12.129594364870925,12.25418834534136,12.210336670018462,
302.609022556391,427.390977443609,105.0,,,,12.193052974378999
302.6182364729459,427.3817635270541,105.0,12.111767983068688,12.236659279343488,12.192844305809377,
304.0801603206413,425.9198396793587,105.0,12.09390790711914,12.219103521116555,12.175328955581737,
304.42105263157896,425.57894736842104,105.0,,,,12.17133094054386
305.5420841683367,424.4579158316633,105.0,12.076013949009507,12.201520962844883,12.157790529222785,
306.23308270676694,423.76691729323306,105.0,,,,12.149573499310739
307.00400801603206,422.99599198396794,105.0,12.058085918968484,12.183911495956375,12.14022893592944,
308.04511278195486,421.95488721804514,105.0,,,,12.127780480355314
308.46593186372746,421.53406813627254,105.0,12.040123625443124,12.166275011114292,12.122644084200184,
309.85714285714283,420.14285714285717,105.0,,,,12.105951711718893
309.92785571142286,420.07214428857714,105.0,12.022126875075452,12.148611398208816,12.105035881826936,
311.38977955911827,418.61022044088173,105.0,12.004095472678507,12.130920546348635,12.087404235886973,
311.6691729323308,418.3308270676692,105.0,,,,12.084087019783723
312.85170340681367,417.14829659318633,105.0,11.986029221212132,12.113202343852192,12.069749052734375,
313.4812030075188,416.5187969924812,105.0,,,,12.062186229248173
314.313627254509,415.686372745491,105.0,11.96792792175819,12.095456678239056,12.052070237991572,
315.29323308270676,414.70676691729324,105.0,,,,12.040249163101162
315.7755511022044,414.2244488977956,105.0,11.949791373495545,12.077683436220944,12.03436769654083,
317.10526315789474,412.89473684210526,105.0,,,,12.018275642596226
317.2374749498998,412.7625250501002,105.0,11.931619373674422,12.059882503692714,12.016641332515391,
318.6993987975952,411.3006012024048,105.0,11.913411717590451,12.042053765723214,11.998891049290615,
318.9172932330827,411.0827067669173,105.0,,,,11.996265487225031
320.1613226452906,409.8386773547094,105.0,11.895168198558217,12.024197106545934,11.981116749474936,
320.7293233082707,409.2706766917293,105.0,,,,11.974218514690298
321.62324649298597,408.37675350701403,105.0,11.876888607884375,12.006312409549617,11.963318334900736,
322.5413533834586,407.4586466165414,105.0,,,,11.95213454087825
323.0851703406814,406.9148296593186,105.0,11.858878636108841,11.98839955726857,11.94549570661501,
324.3533834586466,405.6466165413534,105.0,,,,11.930013379830477
324.5470941883768,405.4529058116232,105.0,11.840836618581406,11.970458431372998,11.927648764869856,
326.0090180360722,403.9909819639278,105.0,11.822759125543394,11.952488912659087,11.909777409113012,
326.16541353383457,403.83458646616543,105.0,,,,11.90785484371522
327.4709418837675,402.5290581162325,105.0,11.804645950869201,11.934490881038904,11.891881537977989,
327.97744360902254,402.02255639097746,105.0,,,,11.885658742798077
328.9328657314629,401.0671342685371,105.0,11.786496886426162,11.916464215530215,11.873961049274177,
329.7894736842105,400.2105263157895,105.0,,,,11.863424885412105
330.3947895791583,399.6052104208417,105.0,11.768311722047212,11.898408794246151,11.85601583997682,
331.6015037593985,398.3984962406015,105.0,,,,11.84115307792729
331.85671342685373,398.14328657314627,105.0,11.750090245502992,11.880324494384576,11.838045806216767,
333.31863727454913,396.68136272545087,105.0,11.731832242473358,11.862211192217464,11.820050843270122,
333.4135338345865,396.5864661654135,105.0,,,,11.818843124719441
334.7805611222445,395.2194388777555,105.0,11.71353749651859,11.844068763079974,11.802030845547637,
335.22556390977445,394.77443609022555,105.0,,,,11.796494828138314
336.2424849699399,393.7575150300601,105.0,11.695205789049892,11.82589708135945,11.78398570658403,
337.03759398496237,392.96240601503763,105.0,,,,11.774107988475228
337.7044088176353,392.2955911823647,105.0,11.676836899299474,11.807696020484133,11.765915319027087,
338.84962406015035,391.15037593984965,105.0,,,,11.751682403929902
339.1663326653307,390.8336673346693,105.0,11.658430604290112,11.789465452911747,11.747819574626593,
340.6282565130261,389.3717434869739,105.0,11.639986678804025,11.771205250118012,11.729698364223083,
