source,group,case,direct_passes,canonical_passes,permutation_passes,permutation_swapped,permutation_tolerance_rmse
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,17,2,2,2,False,8.4766410188402
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,18,1,1,1,False,21.490280288210947
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,19,3,3,3,False,3.7659336297596586
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,20,1,1,1,False,25.342327163104816
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,21,1,1,1,False,6.969529215410279
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,22,0,0,0,False,7.477574881334634
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,23,1,1,1,False,15.350039428506268
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep17_full_s29|rich|directory,0,1,1,1,False,19.09890607197766
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep17_full_s29|rich|directory,1,3,3,3,False,3.434880374121035
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep17_full_s29|rich|directory,2,1,1,1,False,13.505358037648195
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep17_full_s29|rich|directory,3,0,0,0,False,10.479004065387914
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep17_full_s29|rich|directory,4,1,1,1,False,4.7892333142050285
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep17_full_s29|rich|directory,5,1,1,1,False,31.76313076510701
